goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   62912	     16695 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   71967	     16660 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   71679	     16721 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   71684	     16695 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   72133	     16699 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   71724	     16686 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   71707	     16723 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   71844	     16708 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   72033	     19152 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   70976	     16683 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   51981	     24349 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   51498	     23265 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   51361	     23176 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   51894	     23182 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   51626	     23215 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   51722	     23222 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   51666	     23246 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   51379	     23337 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   51619	     24922 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   51367	     23751 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   51580	     23302 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   51519	     23330 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   51670	     23435 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   51291	     23391 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   51385	     24168 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   51404	     23528 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   51338	     23541 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   51471	     23380 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   51561	     23328 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   51531	     24263 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   56563	     21149 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   56588	     21877 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   56265	     21134 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   56844	     21137 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   56863	     22243 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   57034	     21241 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   56912	     21119 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   56726	     21158 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   55682	     21958 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   57007	     22241 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    6834	    223617 ns/op	  479763 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    4886	    213220 ns/op	  479763 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    6535	    181121 ns/op	  479763 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    6826	    179807 ns/op	  479763 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    6766	    182607 ns/op	  479763 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    6596	    184621 ns/op	  479763 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    6831	    191662 ns/op	  479763 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    6661	    185316 ns/op	  479764 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    6426	    178232 ns/op	  479763 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    6837	    178428 ns/op	  479764 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    5048	    300151 ns/op	  656266 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    5114	    244569 ns/op	  656265 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4818	    251763 ns/op	  656265 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    5086	    251175 ns/op	  656266 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4849	    246293 ns/op	  656266 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4963	    248602 ns/op	  656265 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4870	    238911 ns/op	  656267 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    5167	    238791 ns/op	  656267 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4881	    236231 ns/op	  656266 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    5175	    237683 ns/op	  656268 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    5056	    239385 ns/op	  656234 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    5089	    239284 ns/op	  656234 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    5119	    240953 ns/op	  656234 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    5084	    242507 ns/op	  656233 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    5011	    239048 ns/op	  656234 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    5113	    238773 ns/op	  656233 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4958	    240894 ns/op	  656234 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    5126	    239587 ns/op	  656233 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    5142	    252373 ns/op	  656234 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    5018	    242550 ns/op	  656233 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    5008	    248404 ns/op	  592819 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4795	    245661 ns/op	  592819 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4858	    246909 ns/op	  592819 B/op	   11034 allocs/op
