goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   52362	     21231 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   56104	     21286 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   56516	     21298 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   56158	     21745 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   45379	     23860 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   45385	     24108 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   55717	     21474 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   55676	     21507 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   56029	     21364 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   56100	     21462 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40394	     29877 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40381	     29649 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40425	     29655 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40479	     29561 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40400	     29586 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40536	     29574 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40504	     29573 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40568	     29538 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40581	     29756 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40593	     29629 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40554	     29730 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40077	     29802 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40053	     29984 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40173	     30104 ns/op	   57056 B/op	    1128 allocs/op
