goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   56792	     19886 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   61344	     19929 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   59678	     19911 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   61045	     19656 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   61632	     19867 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   60622	     19681 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   60712	     19778 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   59481	     20002 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   57722	     20286 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   60474	     20029 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   44803	     27073 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   45619	     26294 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   45836	     26745 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   45612	     26610 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   44997	     26438 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   45511	     26715 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   45411	     28017 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   42289	     25957 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   44659	     26952 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   45586	     29241 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   46092	     27989 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   45968	     26796 ns/op	   57072 B/op	    1127 allocs/op
