goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   46717	     24153 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   49777	     24243 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   49484	     24337 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   49857	     24212 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   49695	     24229 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   49495	     24241 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   49500	     24270 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   49621	     24236 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   49581	     24242 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   49698	     24205 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   36835	     32578 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   36766	     32597 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   36784	     32587 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   36816	     32607 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   36763	     32551 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   36886	     32520 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   36759	     32576 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   36734	     32610 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   36848	     32516 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   36832	     32505 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   36763	     32653 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   36849	     32646 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   36864	     32632 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   36896	     32615 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   36658	     32736 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   36744	     32551 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   37017	     32611 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   36757	     32562 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   36943	     32546 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   36852	     32564 ns/op	   57072 B/op	    1127 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   39957	     30099 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   39802	     30073 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   40159	     30060 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   39967	     30108 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   40086	     30129 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   39531	     30253 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   39621	     30203 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   39673	     30251 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   39574	     30186 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   40039	     30021 ns/op	   61544 B/op	    1124 allocs/op
