goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   66915	     15128 ns/op	   40176 B/op	     725 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   79410	     15197 ns/op	   40176 B/op	     725 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   78867	     15241 ns/op	   40176 B/op	     725 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   78878	     15269 ns/op	   40176 B/op	     725 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   78325	     15306 ns/op	   40176 B/op	     725 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   78567	     15301 ns/op	   40176 B/op	     725 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   78852	     15468 ns/op	   40176 B/op	     725 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   78424	     16324 ns/op	   40176 B/op	     725 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   78140	     15354 ns/op	   40176 B/op	     725 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   78122	     15386 ns/op	   40176 B/op	     725 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60260	     19878 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60249	     20494 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   59449	     20013 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60608	     19836 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60626	     19837 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60642	     19818 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60736	     19798 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60710	     19810 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60656	     19902 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60514	     20449 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   60386	     19881 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   60295	     20207 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   59492	     19930 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   60127	     19937 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   60436	     19877 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   60180	     19895 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   60260	     19927 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   59922	     19937 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   60307	     19921 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-10      	   60344	     19928 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   66577	     18014 ns/op	   53720 B/op	     925 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   66166	     18333 ns/op	   53720 B/op	     925 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   63039	     18182 ns/op	   53720 B/op	     925 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   66841	     18018 ns/op	   53720 B/op	     925 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   67034	     17977 ns/op	   53720 B/op	     925 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-10   	   66649	     17997 ns/op	   53720 B/op	     925 allocs/op
