goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   65564	     16450 ns/op	   40200 B/op	     726 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   70808	     18736 ns/op	   40200 B/op	     726 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   72780	     16494 ns/op	   40200 B/op	     726 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   73551	     16281 ns/op	   40200 B/op	     726 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   73444	     16521 ns/op	   40200 B/op	     726 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   73516	     16446 ns/op	   40200 B/op	     726 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   73260	     16384 ns/op	   40200 B/op	     726 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   73114	     16378 ns/op	   40200 B/op	     726 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   73165	     16385 ns/op	   40200 B/op	     726 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-10         	   73467	     16412 ns/op	   40200 B/op	     726 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   59001	     19912 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60218	     19939 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60252	     19967 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60206	     19961 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   59911	     19965 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60129	     19982 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   59959	     19979 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60069	     19999 ns/op	   49232 B/op	     928 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-10      	   60014	     19990 ns/op	   49232 B/op	     928 allocs/op
