goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
                                                  │ /private/tmp/claude-501/-Users-wbrown-src-janus-datalog/98574c29-f8bf-49f5-a57c-b5158da54f52/scratchpad/hashjoin_base.txt │ /private/tmp/claude-501/-Users-wbrown-src-janus-datalog/98574c29-f8bf-49f5-a57c-b5158da54f52/scratchpad/hashjoin_head.txt │
                                                  │                                                          sec/op                                                           │                                               sec/op                                                vs base               │
HashJoinInputTypes/mat_x_mat/size_100-10                                                                                                                         16.43µ ±  1%                                                                                         15.30µ ±  1%  -6.85% (p=0.000 n=10)
HashJoinInputTypes/stream_x_mat/size_100-10                                                                                                                      19.97µ ±  0%                                                                                         19.86µ ±  3%       ~ (p=0.143 n=10)
HashJoinInputTypes/mat_x_stream/size_100-10                                                                                                                      20.00µ ±  0%                                                                                         19.93µ ±  0%  -0.38% (p=0.030 n=10)
HashJoinInputTypes/stream_x_stream/size_100-10                                                                                                                   18.03µ ±  3%                                                                                         18.08µ ±  1%       ~ (p=0.955 n=10)
HashJoinInputTypes/mat_x_mat/size_1000-10                                                                                                                        166.7µ ±  0%                                                                                         157.7µ ±  0%  -5.38% (p=0.000 n=10)
HashJoinInputTypes/stream_x_mat/size_1000-10                                                                                                                     207.6µ ±  1%                                                                                         207.0µ ±  0%  -0.27% (p=0.023 n=10)
HashJoinInputTypes/mat_x_stream/size_1000-10                                                                                                                     207.9µ ±  4%                                                                                         207.3µ ±  0%  -0.31% (p=0.019 n=10)
HashJoinInputTypes/stream_x_stream/size_1000-10                                                                                                                  204.7µ ±  0%                                                                                         203.3µ ±  0%  -0.67% (p=0.000 n=10)
HashJoinInputTypes/mat_x_mat/size_5000-10                                                                                                                       1025.2µ ±  0%                                                                                         969.4µ ±  0%  -5.44% (p=0.000 n=10)
HashJoinInputTypes/stream_x_mat/size_5000-10                                                                                                                     1.376m ±  0%                                                                                         1.359m ±  0%  -1.22% (p=0.000 n=10)
HashJoinInputTypes/mat_x_stream/size_5000-10                                                                                                                     1.379m ±  0%                                                                                         1.364m ±  0%  -1.03% (p=0.000 n=10)
HashJoinInputTypes/stream_x_stream/size_5000-10                                                                                                                  1.366m ±  0%                                                                                         1.354m ±  0%  -0.93% (p=0.000 n=10)
HashJoinMaterializedVsStreaming/materialized-10                                                                                                                  170.8µ ±  9%                                                                                         156.2µ ±  1%  -8.54% (p=0.000 n=10)
HashJoinMaterializedVsStreaming/streaming-10                                                                                                                     211.4µ ±  4%                                                                                         207.4µ ±  0%  -1.93% (p=0.000 n=10)
HashJoinStreaming/size_100-10                                                                                                                                    16.51µ ±  0%                                                                                         15.34µ ±  6%  -7.05% (p=0.000 n=10)
HashJoinStreaming/size_1000-10                                                                                                                                   166.8µ ±  0%                                                                                         156.1µ ±  0%  -6.43% (p=0.000 n=10)
HashJoinStreaming/size_10000-10                                                                                                                                  2.042m ±  0%                                                                                         1.917m ±  5%  -6.16% (p=0.000 n=10)
HashJoinSingleIteration-10                                                                                                                                       167.0µ ±  1%                                                                                         156.3µ ±  0%  -6.36% (p=0.000 n=10)
HashJoinLargeResult/size_10000-10                                                                                                                                2.028m ±  5%                                                                                         1.903m ±  5%  -6.16% (p=0.001 n=10)
HashJoinLargeResult/size_50000-10                                                                                                                                10.54m ±  1%                                                                                         10.05m ±  4%  -4.63% (p=0.003 n=10)
HashJoinIdentityKeys/mat_x_mat/size_100-10                                                                                                                       16.61µ ±  1%                                                                                         15.55µ ±  1%  -6.36% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_mat/size_100-10                                                                                                                    21.47µ ± 11%                                                                                         20.08µ ±  3%  -6.49% (p=0.002 n=10)
HashJoinIdentityKeys/mat_x_stream/size_100-10                                                                                                                    20.33µ ±  1%                                                                                         20.17µ ±  1%       ~ (p=0.072 n=10)
HashJoinIdentityKeys/stream_x_stream/size_100-10                                                                                                                 18.47µ ±  5%                                                                                         18.49µ ±  5%       ~ (p=0.912 n=10)
HashJoinIdentityKeys/mat_x_mat/size_1000-10                                                                                                                      177.9µ ±  0%                                                                                         166.1µ ±  1%  -6.66% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_mat/size_1000-10                                                                                                                   219.2µ ±  0%                                                                                         214.7µ ±  0%  -2.05% (p=0.000 n=10)
HashJoinIdentityKeys/mat_x_stream/size_1000-10                                                                                                                   219.3µ ±  0%                                                                                         214.5µ ±  0%  -2.19% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_stream/size_1000-10                                                                                                                211.9µ ±  0%                                                                                         207.3µ ±  0%  -2.20% (p=0.000 n=10)
HashJoinIdentityKeys/mat_x_mat/size_5000-10                                                                                                                     1051.3µ ±  9%                                                                                         978.6µ ±  1%  -6.91% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_mat/size_5000-10                                                                                                                   1.385m ±  1%                                                                                         1.362m ±  2%  -1.61% (p=0.019 n=10)
HashJoinIdentityKeys/mat_x_stream/size_5000-10                                                                                                                   1.401m ±  6%                                                                                         1.396m ±  3%       ~ (p=0.684 n=10)
HashJoinIdentityKeys/stream_x_stream/size_5000-10                                                                                                                1.374m ±  1%                                                                                         1.375m ±  1%       ~ (p=0.971 n=10)
HashJoinIdentityHighFanout/keys100/fanout10-10                                                                                                                   1.371m ±  0%                                                                                         1.291m ±  0%  -5.83% (p=0.000 n=10)
HashJoinIdentityHighFanout/keys100/fanout50-10                                                                                                                   38.08m ±  4%                                                                                         35.74m ±  1%  -6.15% (p=0.000 n=10)
HashJoinIdentityHighFanout/keys500/fanout20-10                                                                                                                   27.77m ± 11%                                                                                         25.72m ±  4%  -7.36% (p=0.000 n=10)
HashJoinIdentityDuplicates/keys10/reps100-10                                                                                                                     4.311m ±  1%                                                                                         4.292m ± 12%       ~ (p=0.393 n=10)
HashJoinIdentityDuplicates/keys50/reps50-10                                                                                                                      5.670m ±  1%                                                                                         5.689m ±  1%       ~ (p=0.315 n=10)
HashJoinIdentityLargeResult/size_10000-10                                                                                                                        2.059m ±  6%                                                                                         1.934m ±  1%  -6.07% (p=0.001 n=10)
HashJoinIdentityLargeResult/size_50000-10                                                                                                                        10.73m ±  1%                                                                                         10.07m ±  2%  -6.18% (p=0.002 n=10)
geomean                                                                                                                                                          394.6µ                                                                                               380.6µ        -3.56%

                                                  │ /private/tmp/claude-501/-Users-wbrown-src-janus-datalog/98574c29-f8bf-49f5-a57c-b5158da54f52/scratchpad/hashjoin_base.txt │ /private/tmp/claude-501/-Users-wbrown-src-janus-datalog/98574c29-f8bf-49f5-a57c-b5158da54f52/scratchpad/hashjoin_head.txt │
                                                  │                                                           B/op                                                            │                                               B/op                                                vs base                 │
HashJoinInputTypes/mat_x_mat/size_100-10                                                                                                                         39.26Ki ± 0%                                                                                       39.23Ki ± 0%  -0.06% (p=0.000 n=10)
HashJoinInputTypes/stream_x_mat/size_100-10                                                                                                                      48.08Ki ± 0%                                                                                       48.08Ki ± 0%       ~ (p=1.000 n=10) ¹
HashJoinInputTypes/mat_x_stream/size_100-10                                                                                                                      48.08Ki ± 0%                                                                                       48.08Ki ± 0%       ~ (p=1.000 n=10) ¹
HashJoinInputTypes/stream_x_stream/size_100-10                                                                                                                   52.46Ki ± 0%                                                                                       52.46Ki ± 0%       ~ (p=1.000 n=10) ¹
HashJoinInputTypes/mat_x_mat/size_1000-10                                                                                                                        437.3Ki ± 0%                                                                                       437.3Ki ± 0%  -0.01% (p=0.000 n=10)
HashJoinInputTypes/stream_x_mat/size_1000-10                                                                                                                     562.9Ki ± 0%                                                                                       562.9Ki ± 0%       ~ (p=1.000 n=10)
HashJoinInputTypes/mat_x_stream/size_1000-10                                                                                                                     562.9Ki ± 0%                                                                                       562.9Ki ± 0%       ~ (p=0.122 n=10)
HashJoinInputTypes/stream_x_stream/size_1000-10                                                                                                                  501.0Ki ± 0%                                                                                       501.0Ki ± 0%       ~ (p=0.116 n=10)
HashJoinInputTypes/mat_x_mat/size_5000-10                                                                                                                        2.180Mi ± 0%                                                                                       2.180Mi ± 0%  -0.00% (p=0.000 n=10)
HashJoinInputTypes/stream_x_mat/size_5000-10                                                                                                                     2.743Mi ± 0%                                                                                       2.743Mi ± 0%       ~ (p=0.684 n=10)
HashJoinInputTypes/mat_x_stream/size_5000-10                                                                                                                     2.743Mi ± 0%                                                                                       2.743Mi ± 0%  -0.00% (p=0.047 n=10)
HashJoinInputTypes/stream_x_stream/size_5000-10                                                                                                                  2.526Mi ± 0%                                                                                       2.526Mi ± 0%  -0.00% (p=0.006 n=10)
HashJoinMaterializedVsStreaming/materialized-10                                                                                                                  437.3Ki ± 0%                                                                                       437.3Ki ± 0%  -0.01% (p=0.000 n=10)
HashJoinMaterializedVsStreaming/streaming-10                                                                                                                     562.9Ki ± 0%                                                                                       562.9Ki ± 0%       ~ (p=0.714 n=10)
HashJoinStreaming/size_100-10                                                                                                                                    39.26Ki ± 0%                                                                                       39.23Ki ± 0%  -0.06% (p=0.000 n=10)
HashJoinStreaming/size_1000-10                                                                                                                                   437.3Ki ± 0%                                                                                       437.3Ki ± 0%  -0.01% (p=0.000 n=10)
HashJoinStreaming/size_10000-10                                                                                                                                  4.320Mi ± 0%                                                                                       4.320Mi ± 0%  -0.00% (p=0.000 n=10)
HashJoinSingleIteration-10                                                                                                                                       437.3Ki ± 0%                                                                                       437.3Ki ± 0%  -0.01% (p=0.000 n=10)
HashJoinLargeResult/size_10000-10                                                                                                                                4.320Mi ± 0%                                                                                       4.320Mi ± 0%  -0.00% (p=0.000 n=10)
HashJoinLargeResult/size_50000-10                                                                                                                                21.71Mi ± 0%                                                                                       21.71Mi ± 0%  -0.00% (p=0.017 n=10)
HashJoinIdentityKeys/mat_x_mat/size_100-10                                                                                                                       39.26Ki ± 0%                                                                                       39.23Ki ± 0%  -0.06% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_mat/size_100-10                                                                                                                    48.05Ki ± 0%                                                                                       48.05Ki ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/mat_x_stream/size_100-10                                                                                                                    48.05Ki ± 0%                                                                                       48.05Ki ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/stream_x_stream/size_100-10                                                                                                                 52.46Ki ± 0%                                                                                       52.46Ki ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/mat_x_mat/size_1000-10                                                                                                                      437.3Ki ± 0%                                                                                       437.3Ki ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_mat/size_1000-10                                                                                                                   562.5Ki ± 0%                                                                                       562.5Ki ± 0%       ~ (p=0.714 n=10)
HashJoinIdentityKeys/mat_x_stream/size_1000-10                                                                                                                   562.5Ki ± 0%                                                                                       562.5Ki ± 0%       ~ (p=1.000 n=10)
HashJoinIdentityKeys/stream_x_stream/size_1000-10                                                                                                                501.0Ki ± 0%                                                                                       501.0Ki ± 0%  +0.00% (p=0.002 n=10)
HashJoinIdentityKeys/mat_x_mat/size_5000-10                                                                                                                      2.180Mi ± 0%                                                                                       2.180Mi ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_mat/size_5000-10                                                                                                                   2.741Mi ± 0%                                                                                       2.741Mi ± 0%  -0.00% (p=0.001 n=10)
HashJoinIdentityKeys/mat_x_stream/size_5000-10                                                                                                                   2.741Mi ± 0%                                                                                       2.741Mi ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_stream/size_5000-10                                                                                                                2.526Mi ± 0%                                                                                       2.526Mi ± 0%       ~ (p=0.410 n=10)
HashJoinIdentityHighFanout/keys100/fanout10-10                                                                                                                   3.228Mi ± 0%                                                                                       3.228Mi ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityHighFanout/keys100/fanout50-10                                                                                                                   94.74Mi ± 0%                                                                                       94.74Mi ± 0%       ~ (p=0.853 n=10)
HashJoinIdentityHighFanout/keys500/fanout20-10                                                                                                                   64.55Mi ± 0%                                                                                       64.55Mi ± 0%       ~ (p=0.190 n=10)
HashJoinIdentityDuplicates/keys10/reps100-10                                                                                                                     4.861Mi ± 0%                                                                                       4.861Mi ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityDuplicates/keys50/reps50-10                                                                                                                      6.340Mi ± 0%                                                                                       6.340Mi ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityLargeResult/size_10000-10                                                                                                                        4.320Mi ± 0%                                                                                       4.320Mi ± 0%  -0.00% (p=0.000 n=10)
