goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   51552	     21023 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   57387	     20983 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   56564	     21088 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   56232	     20971 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   56271	     21151 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   57242	     21064 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   57310	     20959 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   57290	     20909 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   56977	     20957 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   56164	     20941 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   41287	     29160 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   41101	     29173 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   41214	     29192 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   41103	     29208 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   41125	     29152 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   41086	     29280 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   41090	     29178 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   41144	     29406 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   41090	     29196 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   41146	     30683 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   40996	     29342 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   40992	     29297 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   37816	     29429 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   41014	     29317 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   40909	     29423 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   41038	     30507 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   40478	     29333 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   40951	     29266 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   41127	     29280 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   41004	     30144 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   47522	     25730 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   47053	     25296 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   47422	     25241 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   47384	     25232 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   47460	     25427 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   47583	     25251 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   47481	     25874 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   44016	     28186 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   43544	     26980 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   47286	     26881 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    5486	    222672 ns/op	  479761 B/op	    8032 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    5199	    234531 ns/op	  479762 B/op	    8032 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    5148	    244131 ns/op	  479762 B/op	    8032 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4891	    259832 ns/op	  479762 B/op	    8032 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4850	    246347 ns/op	  479761 B/op	    8032 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4982	    249529 ns/op	  479762 B/op	    8032 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4664	    248102 ns/op	  479761 B/op	    8032 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4894	    250866 ns/op	  479762 B/op	    8032 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4980	    240272 ns/op	  479761 B/op	    8032 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4754	    231152 ns/op	  479762 B/op	    8032 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3920	    304225 ns/op	  655804 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3718	    319929 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3898	    320200 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3811	    305225 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3950	    305980 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3962	    304560 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3955	    303423 ns/op	  655804 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3964	    304911 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3682	    304326 ns/op	  655804 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3981	    303987 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3921	    303837 ns/op	  655804 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3933	    308994 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3937	    305112 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3897	    305279 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3909	    305511 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3946	    305107 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3934	    305288 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3948	    304898 ns/op	  655804 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3955	    306092 ns/op	  655805 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3922	    306623 ns/op	  655804 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    3756	    304071 ns/op	  592819 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    4191	    298748 ns/op	  592818 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    4120	    287116 ns/op	  592818 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    4142	    286579 ns/op	  592818 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    4250	    297128 ns/op	  592818 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    3973	    289251 ns/op	  592817 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    4221	    288867 ns/op	  592817 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    4161	    289503 ns/op	  592817 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    4180	    291220 ns/op	  592818 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    4170	    294728 ns/op	  592818 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     906	   1356469 ns/op	 2446342 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     889	   1351343 ns/op	 2446334 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     889	   1338784 ns/op	 2446337 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     885	   1350703 ns/op	 2446338 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     879	   1363949 ns/op	 2446338 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     867	   1387365 ns/op	 2446335 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     860	   1372341 ns/op	 2446333 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     880	   1364016 ns/op	 2446336 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     854	   1431283 ns/op	 2446335 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     854	   1397047 ns/op	 2446335 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     594	   2009855 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     603	   2013373 ns/op	 3274115 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     595	   2058150 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     584	   2028262 ns/op	 3274118 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     586	   2025293 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     582	   2040251 ns/op	 3274119 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     591	   2234553 ns/op	 3274118 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     564	   2054831 ns/op	 3274119 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     595	   2054804 ns/op	 3274117 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     561	   2061045 ns/op	 3274114 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     591	   2027384 ns/op	 3274112 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     591	   2016170 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     597	   2022817 ns/op	 3274119 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     592	   2066783 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     580	   2063534 ns/op	 3274118 B/op	   55084 allocs/op
