goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   48247	     23077 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   50215	     26454 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   50365	     23584 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   51496	     23231 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   51802	     23232 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   51775	     23268 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   51570	     23617 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   51738	     24009 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   50740	     23283 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-10         	   51690	     23496 ns/op	   43312 B/op	     824 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   38247	     31548 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   38188	     32044 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   38336	     31309 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   36181	     33853 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   37270	     31844 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   37806	     31494 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   38036	     32030 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   38343	     31323 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   38319	     31994 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-10      	   37488	     31357 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   37964	     33448 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   34582	     33018 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   35750	     33845 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   34964	     33421 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   36538	     33758 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   32102	     35962 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   34831	     36370 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   34176	     35087 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   34284	     35407 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-10      	   33553	     37658 ns/op	   57040 B/op	    1127 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   37335	     31329 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   43200	     27342 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   42727	     28506 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   37618	     27577 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   42094	     27596 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   43927	     27316 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   42799	     28440 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   43882	     28086 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   43896	     27337 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-10   	   43870	     27670 ns/op	   61544 B/op	    1124 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4621	    243376 ns/op	  479746 B/op	    8031 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    5012	    241585 ns/op	  479747 B/op	    8031 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4957	    243789 ns/op	  479747 B/op	    8031 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4993	    241016 ns/op	  479745 B/op	    8031 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    5034	    240962 ns/op	  479745 B/op	    8031 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    5020	    252680 ns/op	  479745 B/op	    8031 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4753	    244296 ns/op	  479746 B/op	    8031 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4964	    241074 ns/op	  479745 B/op	    8031 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4977	    254405 ns/op	  479746 B/op	    8031 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-10        	    4807	    242143 ns/op	  479746 B/op	    8031 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3670	    326163 ns/op	  655820 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3728	    330210 ns/op	  655821 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3663	    334852 ns/op	  655820 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3669	    326058 ns/op	  655820 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3690	    333765 ns/op	  655820 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3668	    325615 ns/op	  655819 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3715	    324751 ns/op	  655820 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3679	    331553 ns/op	  655820 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3688	    345652 ns/op	  655821 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-10     	    3300	    341382 ns/op	  655821 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3709	    337395 ns/op	  655821 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3285	    348180 ns/op	  655822 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3693	    326446 ns/op	  655820 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3726	    324080 ns/op	  655821 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3687	    363925 ns/op	  655821 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3643	    337965 ns/op	  655822 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3643	    328161 ns/op	  655820 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3676	    329506 ns/op	  655821 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3190	    333960 ns/op	  655820 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-10     	    3694	    326694 ns/op	  655820 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    3975	    305318 ns/op	  592835 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    3964	    305955 ns/op	  592835 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    3925	    316268 ns/op	  592834 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    3906	    306370 ns/op	  592834 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    3948	    304261 ns/op	  592835 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    3999	    312623 ns/op	  592834 B/op	   11033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-10  	    3951	    303878 ns/op	  592834 B/op	   11033 allocs/op
