goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   44271	     26957 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   44940	     26728 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   44137	     26762 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   45018	     26637 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   44834	     26527 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   32630	     36527 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   32685	     37669 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   32403	     36837 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   32858	     36628 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   32768	     36655 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   32996	     36772 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   32758	     36944 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   32724	     36763 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   32750	     36713 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   32734	     38997 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   36708	     32586 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   37154	     32647 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   37123	     32687 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   36814	     32506 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   36757	     32411 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3454	    378018 ns/op	  479798 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3210	    367364 ns/op	  479792 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3140	    371793 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3267	    372844 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3226	    372068 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2347	    515356 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2334	    509925 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2365	    514332 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2334	    516860 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2366	    516015 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2394	    515015 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2358	    512404 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2320	    510602 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2390	    512358 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2360	    513936 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2511	    477961 ns/op	  592828 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2512	    485639 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2469	    488283 ns/op	  592824 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2332	    486576 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2481	    486135 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     570	   2077522 ns/op	 2446361 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     586	   2101969 ns/op	 2446359 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     560	   2086119 ns/op	 2446358 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     552	   2089527 ns/op	 2446363 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     584	   2099357 ns/op	 2446356 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     386	   3159350 ns/op	 3274130 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     385	   3144872 ns/op	 3274131 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     384	   3149633 ns/op	 3274132 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     379	   3175167 ns/op	 3274138 B/op	   55084 allocs/op
