goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   52971	     20761 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57864	     20865 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57891	     20832 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57844	     20813 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57765	     20809 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   44314	     27217 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   44361	     28535 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   44512	     26946 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   44528	     26964 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   44251	     27050 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   44472	     27164 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   44352	     27066 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   44521	     27056 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   44437	     27073 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   44450	     26974 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   48855	     24518 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   48880	     24575 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   48763	     24628 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   48658	     24568 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   48962	     24530 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    5242	    255675 ns/op	  479795 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4862	    257045 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4557	    253051 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4590	    258968 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4844	    256307 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3387	    345229 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3432	    345571 ns/op	  608274 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3596	    341844 ns/op	  608272 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3524	    346766 ns/op	  608274 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3484	    346400 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3562	    340809 ns/op	  608241 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3499	    344428 ns/op	  608241 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3552	    345633 ns/op	  608243 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3486	    340893 ns/op	  608240 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3753	    342176 ns/op	  608242 B/op	   10034 allocs/op
