goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/EA_bound-10         	 7529574	       159.9 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/EA_bound-10         	 7456983	       162.3 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/EA_bound-10         	 7358236	       164.2 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/EA_bound-10         	 7295428	       164.9 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/EA_bound-10         	 7172355	       175.8 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/EA_bound-10        	 6314190	       188.7 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/EA_bound-10        	 7393587	       166.0 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/EA_bound-10        	 6739495	       161.8 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/EA_bound-10        	 7640497	       156.1 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/EA_bound-10        	 7562029	       156.1 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/E_bound-10          	 3982027	       303.3 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/E_bound-10          	 3912506	       308.0 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/E_bound-10          	 3907560	       310.2 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/E_bound-10          	 3920395	       310.9 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/E_bound-10          	 3950265	       305.5 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/E_bound-10         	 3920449	       308.6 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/E_bound-10         	 3854557	       308.9 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/E_bound-10         	 3802346	       306.3 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/E_bound-10         	 4000383	       306.6 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/E_bound-10         	 3952681	       304.1 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/A_bound-10          	  301246	      4064 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/A_bound-10          	  296222	      4156 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/A_bound-10          	  283718	      4217 ns/op	   29896 B/op	     113 allocs/op
