goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/EA_bound-10         	 7718292	       151.7 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/EA_bound-10         	 8007163	       150.5 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/EA_bound-10         	 7990528	       149.7 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/EA_bound-10         	 7990778	       149.7 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/EA_bound-10         	 8020047	       149.3 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/EA_bound-10        	 8006707	       149.7 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/EA_bound-10        	 8008688	       149.9 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/EA_bound-10        	 7977715	       150.1 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/EA_bound-10        	 7949308	       151.0 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/EA_bound-10        	 7981756	       151.6 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/E_bound-10          	 4203874	       286.2 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/E_bound-10          	 4196676	       287.1 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/E_bound-10          	 4181454	       286.7 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/E_bound-10          	 4200028	       286.6 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/E_bound-10          	 4181934	       288.3 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/E_bound-10         	 4190618	       287.6 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/E_bound-10         	 4170810	       287.9 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/E_bound-10         	 4184710	       287.8 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/E_bound-10         	 4154220	       288.5 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/E_bound-10         	 4160032	       287.7 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/A_bound-10          	  298281	      3897 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/A_bound-10          	  310149	      3921 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/A_bound-10          	  299973	      3951 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/A_bound-10          	  302820	      3912 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/A_bound-10          	  323157	      4042 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/A_bound-10         	  301468	      3895 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/A_bound-10         	  298087	      3908 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/A_bound-10         	  305108	      3890 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/A_bound-10         	  304158	      3953 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/A_bound-10         	  310797	      3927 ns/op	   29896 B/op	     113 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/V_bound-10          	 3952935	       302.9 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/V_bound-10          	 3969471	       303.9 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/V_bound-10          	 3947335	       302.8 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/V_bound-10          	 3966429	       303.5 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/V_bound-10          	 3943533	       303.2 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/V_bound-10         	 3954756	       303.1 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/V_bound-10         	 3945598	       302.4 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/V_bound-10         	 3957499	       303.8 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/V_bound-10         	 3944665	       304.1 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/V_bound-10         	 3950026	       303.7 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/Nothing_bound-10    	   78573	     15049 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/Nothing_bound-10    	   79300	     15062 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/Nothing_bound-10    	   79520	     14850 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/Nothing_bound-10    	   80515	     15091 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/100/Nothing_bound-10    	   80548	     14871 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/Nothing_bound-10   	   80398	     15055 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/Nothing_bound-10   	   79267	     15041 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/Nothing_bound-10   	   78932	     15017 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/Nothing_bound-10   	   79525	     15297 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/Nothing_bound-10   	   81548	     15048 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/EA_bound-10        	 6413067	       186.5 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/EA_bound-10        	 6395508	       186.7 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/EA_bound-10        	 6460934	       195.4 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/EA_bound-10        	 5641281	       206.9 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/EA_bound-10        	 6372409	       184.3 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/EA_bound-10       	 6352515	       187.5 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/EA_bound-10       	 6387392	       187.8 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/EA_bound-10       	 6315327	       186.9 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/EA_bound-10       	 6429596	       188.5 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/EA_bound-10       	 6504952	       187.2 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/E_bound-10         	 3288386	       367.0 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/E_bound-10         	 3310413	       365.9 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/E_bound-10         	 3265062	       365.3 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/E_bound-10         	 3253238	       365.4 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/E_bound-10         	 3301596	       365.2 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/E_bound-10        	 3304400	       365.1 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/E_bound-10        	 3281439	       363.5 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/E_bound-10        	 3326373	       363.7 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/E_bound-10        	 3290491	       426.8 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/E_bound-10        	 2974516	       403.4 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/A_bound-10         	   23508	     52851 ns/op	  254779 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/A_bound-10         	   22912	     51386 ns/op	  254781 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/A_bound-10         	   22262	     52187 ns/op	  254782 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/A_bound-10         	   23268	     52013 ns/op	  254780 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/A_bound-10         	   23079	     52397 ns/op	  254780 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/A_bound-10        	   23036	     60895 ns/op	  254780 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/A_bound-10        	   21145	     55105 ns/op	  254785 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/A_bound-10        	   23145	     55526 ns/op	  254780 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/A_bound-10        	   20814	     51898 ns/op	  254786 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/A_bound-10        	   23622	     51207 ns/op	  254779 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/V_bound-10         	 3077637	       416.2 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/V_bound-10         	 2664344	       410.4 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/V_bound-10         	 2942432	       386.0 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/V_bound-10         	 3093082	       376.8 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/V_bound-10         	 3158904	       400.0 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/V_bound-10        	 3002713	       393.7 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/V_bound-10        	 3085050	       383.0 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/V_bound-10        	 3155673	       381.3 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/V_bound-10        	 3096547	       391.8 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/V_bound-10        	 3051829	       389.2 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/Nothing_bound-10   	    5373	    255664 ns/op	 1355143 B/op	    4023 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/Nothing_bound-10   	    4713	    275834 ns/op	 1355175 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/Nothing_bound-10   	    4052	    284782 ns/op	 1355217 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/Nothing_bound-10   	    4575	    264516 ns/op	 1355183 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/Nothing_bound-10   	    4368	    487262 ns/op	 1355197 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/Nothing_bound-10  	    3962	    267853 ns/op	 1355222 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/Nothing_bound-10  	    4816	    250562 ns/op	 1355168 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/Nothing_bound-10  	    4602	    259032 ns/op	 1355180 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/Nothing_bound-10  	    4716	    250260 ns/op	 1355175 B/op	    4024 allocs/op
